"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 22:30:50 GMT 2024","Mon Mar 18 22:30:50 GMT 2024","41","","Тесты на удаление пользователя","","api.users.DeleteUserTest","deleteValidUser","Удаление валидного пользователя",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:52 GMT 2024","109","","Тесты на получение пользователя","","api.users.GetUserTest","getUserByEmptyUsername","Получение пользователя по пустому username",""
"passed","Mon Mar 18 22:30:50 GMT 2024","Mon Mar 18 22:30:50 GMT 2024","33","","Тесты на удаление пользователя","","api.users.DeleteUserTest","deleteNonexistentUser","Удаление несуществующего пользователя",""
"failed","Mon Mar 18 22:30:49 GMT 2024","Mon Mar 18 22:30:49 GMT 2024","47","","Тесты на обновление пользователей","","api.users.UpdateUserTest","updateAllFieldsInvalid","Обновление всех полей пользователя невалидными значениями",""
"failed","Mon Mar 18 22:30:49 GMT 2024","Mon Mar 18 22:30:49 GMT 2024","89","","Тесты на обновление пользователей","","api.users.UpdateUserTest","updateAllFieldsExceptOfUsername","Обновление всех полей пользователя кроме username [3] vu_12, 8_u, 176, dnk@lkm, @-!!!, 0123qwer, 25",""
"passed","Mon Mar 18 22:30:49 GMT 2024","Mon Mar 18 22:30:49 GMT 2024","74","","Тесты на обновление пользователей","","api.users.UpdateUserTest","updateAllFields","Обновление всех полей пользователя [3] vu_12, 8_u, 176, dnk@lkm, @-!!!, 0123qwer, 25",""
"failed","Mon Mar 18 22:30:49 GMT 2024","Mon Mar 18 22:30:49 GMT 2024","110","","Тесты на обновление пользователей","","api.users.UpdateUserTest","updateNonexistentUser","Обновление несуществующего пользователя",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","50","","Тесты на получение пользователя","","api.users.GetUserTest","getDeletedUser","Получение удаленного ранее пользователя",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","31","","Создание нескольких пользователей (через эндпоинты /createWithArray и /createWithList)","","api.users.CreateListOfUsersTest","createUsersByEmptyArray","Создание пользователей пустым массивом [1] /createWithArray",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","32","","Создание нескольких пользователей (через эндпоинты /createWithArray и /createWithList)","","api.users.CreateListOfUsersTest","createArrayOfUsers","Создание нескольких пользователей из массива через {0} [2] /createWithList",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","39","","Создание нескольких пользователей (через эндпоинты /createWithArray и /createWithList)","","api.users.CreateListOfUsersTest","createArrayOfUsers","Создание нескольких пользователей из массива через {0} [1] /createWithArray",""
"failed","Mon Mar 18 22:30:50 GMT 2024","Mon Mar 18 22:30:50 GMT 2024","90","","api.users.LoginUserTest","","api.users.LoginUserTest","loginUserWithCorrectHeaders","Логин валидного пользователя с корректными заголовками",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","33","","Тесты на создание пользователя","","api.users.CreateUserTest","createValidUser","Создание валидного пользователя с разными данными [1] Leon, Leon, Mortanyan, mort24@jj.am, 12345, +37422258420, 0",""
"passed","Mon Mar 18 22:30:50 GMT 2024","Mon Mar 18 22:30:50 GMT 2024","41","","Тесты на удаление пользователя","","api.users.DeleteUserTest","deleteDeletedUser","Удаление ранее удаленного пользователя",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","31","","Тесты на создание пользователя","","api.users.CreateUserTest","createUserWithoutPassword","Создание пользователя без пароля",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","33","","Создание нескольких пользователей (через эндпоинты /createWithArray и /createWithList)","","api.users.CreateListOfUsersTest","createArrayOfOneUser","Создание одного пользователя из массива через {0} [2] /createWithList",""
"passed","Mon Mar 18 22:30:50 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","29","","Создание нескольких пользователей (через эндпоинты /createWithArray и /createWithList)","","api.users.CreateListOfUsersTest","createOneUserWithoutArray","Создание одного пользователя объектом без массива [2] /createWithList",""
"passed","Mon Mar 18 22:30:50 GMT 2024","Mon Mar 18 22:30:50 GMT 2024","38","","Создание нескольких пользователей (через эндпоинты /createWithArray и /createWithList)","","api.users.CreateListOfUsersTest","createOneUserWithoutArray","Создание одного пользователя объектом без массива [1] /createWithArray",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","29","","Тесты на создание пользователя","","api.users.CreateUserTest","createValidUser","Создание валидного пользователя с разными данными [3] vu_12, 8_u, 176, dnk@lkm, @-!!!, 0123qwer, 25",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","32","","Тесты на создание пользователя","","api.users.CreateUserTest","createUserOnlyWithStatus","Создание пользователя только со статусом",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","35","","Создание нескольких пользователей (через эндпоинты /createWithArray и /createWithList)","","api.users.CreateListOfUsersTest","createArrayOfOneUser","Создание одного пользователя из массива через {0} [1] /createWithArray",""
"passed","Mon Mar 18 22:30:49 GMT 2024","Mon Mar 18 22:30:49 GMT 2024","86","","Тесты на обновление пользователей","","api.users.UpdateUserTest","updateAllFields","Обновление всех полей пользователя [1] Leon, Leon, Mortanyan, mort24@jj.am, 12345, +37422258420, 0",""
"passed","Mon Mar 18 22:30:51 GMT 2024","Mon Mar 18 22:30:51 GMT 2024","27","","Тесты на получение пользователя","","api.users.GetUserTest","getValidUser","Получение пользователя по валидному username",""
